-130,-167,-190,-71,-71,-190,-167,-130
-101,-125,-58,-114,-114,-58,-125,-101
-87,-155,-64,-61,-61,-64,-155,-87
-38,-86,-35,-4,-4,-35,-86,-38
-38,-86,-35,-4,-4,-35,-86,-38
-87,-155,-64,-61,-61,-64,-155,-87
-101,-125,-58,-114,-114,-58,-125,-101
-130,-167,-190,-71,-71,-190,-167,-130
22,4,13,17,17,13,4,22
95,41,166,192,192,166,41,95
178,24,112,115,115,112,24,178
106,114,71,187,187,71,114,106
106,114,71,187,187,71,114,106
178,24,112,115,115,112,24,178
95,41,166,192,192,166,41,95
22,4,13,17,17,13,4,22
190,178,167,102,102,167,178,190
240,233,242,219,219,242,233,240
192,148,151,132,132,151,148,192
133,163,238,12,12,238,163,133
133,163,238,12,12,238,163,133
192,148,151,132,132,151,148,192
240,233,242,219,219,242,233,240
190,178,167,102,102,167,178,190
-171,-173,-190,-147,-147,-190,-173,-171
-10,-30,-39,-136,-136,-39,-30,-10
-186,-51,-172,-221,-221,-172,-51,-186
-210,-191,-148,-137,-137,-148,-191,-210
-210,-191,-148,-137,-137,-148,-191,-210
-186,-51,-172,-221,-221,-172,-51,-186
-10,-30,-39,-136,-136,-39,-30,-10
-171,-173,-190,-147,-147,-190,-173,-171
253,283,260,162,162,260,283,253
113,244,257,215,215,257,244,113
218,318,166,339,339,166,318,218
351,216,185,164,164,185,216,351
351,216,185,164,164,185,216,351
218,318,166,339,339,166,318,218
113,244,257,215,215,257,244,113
253,283,260,162,162,260,283,253
